player|pos|age|tm|g|mp|per|ts_percent|x3pa_rate|fta_rate|orb_percent|drb_percent|trb_percent|ast_percent|stl_percent|blk_percent|tov_percent|usg_percent|ows|dws|ws|ws_48|obpm|dbpm|bpm|vorp
Jaden Springer|SG-PG|21|TOT|49|507|10.7|0.49|0.324|0.284|7.1|9.8|8.4|11.5|3.5|2.7|17|17.1|-0.3|0.8|0.6|0.052|-4.9|1.5|-3.4|-0.2
Lamar Stevens|PF|26|TOT|38|559|14.6|0.516|0.192|0.225|6.9|18.2|12.4|7.9|2|3.6|8.3|22.2|0|0.8|0.8|0.068|-2.2|-0.1|-2.2|0
Isaiah Stewart|PF|22|DET|46|1423|11.3|0.6|0.458|0.223|5.7|18.4|11.9|7.1|0.6|2.3|13.6|14.5|0.9|0.8|1.7|0.056|-1.6|-0.7|-2.3|-0.1
Julian Strawther|SF|21|DEN|50|545|8.2|0.482|0.622|0.14|1|11.1|6.2|11.3|1.5|1.1|8.9|20.7|-0.4|0.6|0.2|0.015|-4.6|-1.4|-6|-0.6
Max Strus|SF|27|CLE|70|2239|11.7|0.553|0.658|0.133|3.4|13.5|8.5|17.3|1.4|1.2|12.7|17.4|1.2|2.6|3.9|0.083|-1.1|0.5|-0.6|0.8
Jalen Suggs|SG|22|ORL|75|2025|14.1|0.602|0.539|0.218|2.8|10.6|6.6|15|2.6|2.2|14.4|19.7|1.5|3.2|4.7|0.112|-0.6|1.6|1|1.5
Cole Swider|SF|24|MIA|18|87|7.1|0.54|0.789|0.053|1.3|7.9|4.6|8.8|0.6|1.1|17.1|24|-0.2|0.1|-0.1|-0.05|-2.1|-2.4|-4.5|-0.1
Jae'Sean Tate|SF|28|HOU|65|1031|9.3|0.538|0.336|0.17|6.3|14.3|10.2|8.2|2|1.3|13.1|11.7|0.4|1.3|1.8|0.082|-3.7|1.5|-2.3|-0.1
Jayson Tatum|PF|25|BOS|74|2645|22.3|0.604|0.427|0.349|2.9|20.9|12.3|21|1.4|1.4|10.3|30.2|6.4|4.1|10.4|0.189|4.5|0.6|5.1|4.7
Terry Taylor|PF|24|CHI|31|188|10.1|0.558|0.231|0.128|9.9|12.1|11|7|1.3|1.1|14.5|11.3|0.1|0.1|0.3|0.07|-3.1|-0.1|-3.2|0
Garrett Temple|SG|37|TOR|27|289|9.5|0.502|0.513|0.282|6.7|10.5|8.6|12.5|2|0.9|13.8|15|0|0.2|0.2|0.032|-3.4|-1.2|-4.7|-0.2
Dalen Terry|SG|21|CHI|59|681|10.2|0.512|0.471|0.274|4.7|14.1|9.3|15.6|2|2.7|15.4|13.4|0.1|0.7|0.8|0.06|-3.4|1.1|-2.3|0
Daniel Theis|C|31|TOT|60|1015|14.4|0.597|0.242|0.171|9.8|17.1|13.6|8.3|1|4.5|11.8|15.4|1.4|1.2|2.5|0.119|-1.7|0.1|-1.6|0.1
Cam Thomas|SG|22|BRK|66|2075|16.1|0.554|0.333|0.281|1.4|10.1|5.6|15.7|1.1|0.7|8.5|30.5|1.3|1.2|2.5|0.058|0.7|-1.9|-1.2|0.4
Isaiah Thomas|PG|34|PHO|6|19|6.7|0.4|0.4|0|0|0|0|21.9|0|0|0|22.8|0|0|0|-0.03|-1.6|-5.2|-6.9|0
Amen Thompson|SF|21|HOU|62|1388|18.2|0.576|0.13|0.348|11.3|20.4|15.8|17|2.7|2.5|14.9|18.5|1.9|2.4|4.3|0.149|-0.1|1.9|1.8|1.3
